Date,Destination,Min Price
2022-06-19,BOM,39.51
2022-06-19,BLR,35.86
2022-06-20,BOM,39.51
2022-06-20,BLR,35.86
2022-06-20,MAA,37.98
2022-06-20,HYD,38.64
2022-06-20,CCU,36.54
2022-06-21,BOM,39.51
2022-06-21,BLR,35.86
2022-06-21,HYD,38.64
2022-06-21,CCU,36.54
2022-06-22,BOM,39.51
2022-06-22,BLR,35.86
2022-06-22,MAA,37.98
2022-06-22,CCU,36.54
2022-06-23,BOM,39.51
2022-06-23,BLR,35.86
2022-06-23,HYD,38.64
2022-06-23,CCU,36.54
2022-06-24,BOM,39.51
2022-06-24,MAA,37.98
2022-06-24,HYD,38.64
2022-06-24,CCU,36.54
2022-06-25,BOM,39.51
2022-06-25,BLR,35.86
2022-06-25,HYD,38.64
2022-06-25,CCU,36.54
2022-06-26,BOM,39.51
2022-06-26,BLR,35.86
2022-06-26,MAA,37.98
2022-06-26,HYD,38.64
2022-06-26,CCU,36.54
2022-06-27,BOM,39.51
2022-06-27,BLR,35.86
2022-06-27,HYD,38.64
2022-06-27,CCU,36.54
2022-06-28,BOM,39.51
2022-06-28,BLR,35.86
2022-06-28,HYD,38.64
2022-06-28,CCU,36.54
2022-06-29,BOM,39.51
2022-06-29,BLR,35.86
2022-06-29,MAA,37.98
2022-06-29,HYD,38.64
2022-06-29,CCU,36.54
2022-06-30,BOM,39.51
2022-06-30,BLR,35.86
2022-06-30,MAA,37.98
2022-06-30,HYD,38.64
2022-07-01,BOM,40.31
2022-07-01,BLR,36.25
2022-07-01,MAA,38.68
2022-07-01,HYD,39.25
2022-07-01,CCU,37.01
2022-07-02,BOM,40.31
2022-07-02,BLR,36.25
2022-07-02,MAA,38.68
2022-07-02,HYD,39.25
2022-07-02,CCU,37.01
2022-07-03,BLR,36.25
2022-07-03,MAA,38.68
2022-07-03,HYD,39.25
2022-07-03,CCU,37.01
2022-07-04,BOM,40.31
2022-07-04,BLR,36.25
2022-07-04,MAA,38.68
2022-07-04,HYD,39.25
2022-07-04,CCU,37.01
2022-07-05,BOM,40.31
2022-07-05,BLR,36.25
2022-07-05,MAA,38.68
2022-07-05,HYD,39.25
2022-07-05,CCU,37.01
2022-07-06,BOM,40.31
2022-07-06,BLR,36.25
2022-07-06,MAA,38.68
2022-07-06,HYD,39.25
2022-07-07,BOM,40.31
2022-07-07,BLR,36.25
2022-07-07,MAA,38.68
2022-07-07,HYD,39.25
2022-07-07,CCU,37.01
2022-07-08,BOM,40.31
2022-07-08,BLR,36.25
2022-07-08,MAA,38.68
2022-07-08,HYD,39.25
2022-07-08,CCU,37.01
2022-07-09,BOM,40.31
2022-07-09,BLR,36.25
2022-07-09,MAA,38.68
2022-07-09,HYD,39.25
2022-07-09,CCU,37.01
2022-07-10,BOM,40.31
2022-07-10,BLR,36.25
2022-07-10,MAA,38.68
2022-07-10,HYD,39.25
2022-07-10,CCU,37.01
2022-07-11,BOM,40.31
2022-07-11,BLR,36.25
2022-07-11,MAA,38.68
2022-07-11,CCU,37.01
2022-07-12,BOM,40.31
2022-07-12,BLR,36.25
2022-07-12,HYD,39.25
2022-07-12,CCU,37.01
2022-07-13,BOM,40.31
2022-07-13,MAA,38.68
2022-07-13,HYD,39.25
2022-07-13,CCU,37.01
2022-07-14,BOM,40.31
2022-07-14,BLR,36.25
2022-07-14,MAA,38.68
2022-07-14,HYD,39.25
2022-07-14,CCU,37.01
2022-07-15,BOM,40.31
2022-07-15,BLR,36.25
2022-07-15,MAA,38.68
2022-07-15,HYD,39.25
2022-07-15,CCU,37.01
2022-07-16,BLR,36.25
2022-07-16,MAA,38.68
2022-07-16,HYD,39.25
2022-07-16,CCU,37.01
2022-07-17,BLR,36.25
2022-07-17,MAA,38.68
